top - 00:04:26 up  1:26,  1 user,  load average: 0.01, 0.09, 0.15
Tasks: 316 total,   1 running, 315 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    202.3 free,   2134.5 used,   1715.4 buff/cache     
MiB Swap:   3771.0 total,   3770.5 free,      0.5 used.   1733.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2395 dev-onb+  20   0  471712  11324   9532 S   0.0   0.3   0:00.18 gvfs-ud+
   2421 dev-onb+  20   0  424904  15228  13308 S   0.0   0.4   0:00.03 gsd-pri+
   2454 dev-onb+  20   0  899436  24660  21332 S   0.0   0.6   0:00.17 evoluti+
   2455 dev-onb+  20   0  397792   9576   8552 S   0.0   0.2   0:00.03 goa-ide+
   2465 dev-onb+  20   0  319128   7412   6772 S   0.0   0.2   0:00.01 ibus-dc+
   2466 dev-onb+  20   0  429616  28652  17356 S   0.0   0.7   0:02.81 ibus-ex+
   2469 dev-onb+  20   0  319092   7200   6688 S   0.0   0.2   0:00.04 ibus-po+
   2475 dev-onb+  20   0  318440   6572   6060 S   0.0   0.2   0:00.03 gvfs-go+
   2496 dev-onb+  20   0  834104  30004  26036 S   0.0   0.8   0:00.13 evoluti+
   2505 dev-onb+  20   0  398044   8092   7196 S   0.0   0.2   0:00.26 gvfs-af+
   2511 dev-onb+  20   0  319428   7028   6388 S   0.0   0.2   0:00.03 gvfs-gp+
   2522 dev-onb+  20   0   39132  12052  10644 S   0.0   0.3   0:00.24 snapd-d+
   2523 dev-onb+  20   0  318460   6568   6056 S   0.0   0.2   0:00.04 gvfs-mt+
   2608 dev-onb+  20   0  429400  30028  21436 S   0.0   0.8   0:00.30 snapd-d+
   2614 dev-onb+  20   0  245436   7492   6852 S   0.0   0.2   0:01.67 ibus-en+
   2645 dev-onb+  20   0  230108   5700   5188 S   0.0   0.1   0:00.02 dconf-s+
   2655 dev-onb+  20   0  245008   6696   6184 S   0.0   0.2   0:00.03 gvfsd-m+
   2656 dev-onb+  20   0  544376   9192   8040 S   0.0   0.2   0:00.04 gvfsd-t+
   2691 dev-onb+  20   0  710268  14664  11860 S   0.0   0.4   0:00.23 xdg-des+
   2706 dev-onb+  20   0 2744980  27060  22260 S   0.0   0.7   0:00.11 gjs
   2711 dev-onb+  39  19  743276  25600  18576 S   0.0   0.6   0:00.39 tracker+
   2712 dev-onb+  20   0  639268  41128  31144 S   0.0   1.0   0:00.27 xdg-des+
   2765 dev-onb+  20   0 3161024  69304  51888 S   0.0   1.7   0:01.56 gjs
   2799 dev-onb+  20   0  425904  24924  18268 S   0.0   0.6   0:00.14 xdg-des+
   2898 dev-onb+  20   0  503128  30896  23472 S   0.0   0.8   0:00.31 update-+
   3263 dev-onb+  20   0 1766148  25296  16796 S   0.0   0.6   0:00.60 snap
   4033 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4044 dev-onb+  20   0   40572  19392  11072 S   0.0   0.5   0:00.04 gnome-t+
   4045 dev-onb+  20   0  467076  27784  20488 S   0.0   0.7   0:00.07 gnome-t+
   4051 dev-onb+  20   0  566720  56876  44496 S   0.0   1.4   0:09.23 gnome-t+
   4058 dev-onb+  20   0   19932   5336   3800 S   0.0   0.1   0:00.01 bash
   4066 root      20   0   21420   5320   4604 S   0.0   0.1   0:00.05 su
   4067 dev-jsd+  20   0   19916   5528   3864 S   0.0   0.1   0:00.09 bash
   4116 root      20   0       0      0      0 I   0.0   0.0   0:01.04 kworker+
